label,start,o_twap,o_spot,full,settled
15m,1789778700,81307.59,81304.20,81388.14,Up
15m,1789779600,81671.30,81694.80,81445.35,Down
15m,1789780500,81275.75,81290.80,81231.22,Down
15m,1789781400,81222.16,81213.70,81126.12,Down
15m,1789782300,81184.41,81217.40,81286.29,Up
15m,1789783200,81253.99,81244.50,81295.89,Up
15m,1789784100,81342.74,81339.00,81339.49,Down
15m,1789785000,81336.07,81348.90,81326.90,Down
15m,1789785900,81276.84,81261.70,81271.66,Down
15m,1789786800,81267.03,81260.20,81289.71,Down
15m,1789787700,81244.86,81227.90,81175.67,Down
15m,1789788600,81114.10,81114.10,81117.55,Up
15m,1789789500,81148.73,81144.30,81144.07,Down
15m,1789790400,81104.70,81104.90,81144.61,Up
15m,1789791300,81194.26,81203.40,81128.07,Down
15m,1789792200,81091.85,81074.10,80978.09,Down
15m,1789793100,80946.49,80948.60,80967.04,Up
15m,1789794000,81004.30,81007.00,81051.42,Up
15m,1789794900,81020.70,81020.70,81048.50,Up
15m,1789795800,81042.52,81043.70,81047.76,Down
15m,1789796700,81013.95,81022.90,81019.52,Up
15m,1789797600,81028.96,81035.20,81009.26,Down
15m,1789798500,80990.06,80999.50,80955.01,Down
15m,1789799400,80954.82,80971.00,81031.31,Up
15m,1789800300,81042.50,81045.70,81033.90,Down
