timestamp,utc_time,strategy,series,regime,clock_session,macro_blackout,pnl_ungated,pnl_gated,s8_allowed,s8_action,paired,adverse,note
1789981200,2026-09-21 09:00:00Z,S3_FEE_FARM,5m,ASIA,ASIA,False,0.0,0.0,True,TRADE_NORMAL,0,0,single-leg: Up naked 50sh -> 0.49 ($+0.00)
1789981200,2026-09-21 09:00:00Z,S3_FEE_FARM,15m,ASIA,ASIA,False,0.0,0.0,True,TRADE_NORMAL,0,0,single-leg: Up naked 41sh -> 0.49 ($+0.00)
1789981500,2026-09-21 09:05:00Z,S3_FEE_FARM,5m,ASIA,ASIA,False,-2.6758,-2.6758,True,TRADE_NORMAL,0,1,single-leg: Down naked 10sh -> 0.23 ($-2.68)
1789981800,2026-09-21 09:10:00Z,S3_FEE_FARM,5m,ASIA,ASIA,False,0.0,0.0,True,TRADE_NORMAL,0,0,single-leg: Down naked 50sh -> 0.49 ($+0.00)
1789982100,2026-09-21 09:15:00Z,S3_FEE_FARM,5m,ASIA,ASIA,False,0.0,0.0,True,TRADE_NORMAL,0,0,
1789982100,2026-09-21 09:15:00Z,S3_FEE_FARM,15m,ASIA,ASIA,False,0.0,0.0,True,TRADE_NORMAL,0,0,single-leg: Down naked 5sh -> 0.49 ($+0.00)
1789982400,2026-09-21 09:20:00Z,S3_FEE_FARM,5m,ASIA,ASIA,False,1.0,1.0,True,TRADE_NORMAL,1,0,pair 50sh +$1.00
1789982700,2026-09-21 09:25:00Z,S3_FEE_FARM,5m,ASIA,ASIA,False,0.0,0.0,True,TRADE_NORMAL,0,0,
1789983000,2026-09-21 09:30:00Z,S3_FEE_FARM,5m,ASIA,ASIA,False,0.0,0.0,True,TRADE_NORMAL,0,0,
1789983000,2026-09-21 09:30:00Z,S3_FEE_FARM,15m,ASIA,ASIA,False,0.0,0.0,True,TRADE_NORMAL,0,0,single-leg: Up naked 50sh -> 0.49 ($+0.00)
1789983300,2026-09-21 09:35:00Z,S3_FEE_FARM,5m,ASIA,ASIA,False,0.0,0.0,True,TRADE_NORMAL,0,0,
1789983600,2026-09-21 09:40:00Z,S3_FEE_FARM,5m,ASIA,ASIA,False,0.0,0.0,True,TRADE_NORMAL,0,0,
1789983900,2026-09-21 09:45:00Z,S3_FEE_FARM,5m,ASIA,ASIA,False,-1.9204,-1.9204,True,TRADE_NORMAL,1,1,pair 28sh +$0.56 | Up naked 22sh -> 0.40 ($-2.48)
