label,start,settled,up_fill,dn_fill,up_fill_t,dn_fill_t,pair_sh,pair_pnl,leg_pnl,pnl,paired,exit_t,exit_p,adverse,flat,band_reject,note
15m,1789978500,Up,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,14,
5m,1789978800,Up,0.0,50.0,,33s,0.0,0.0,-18.1587,-18.1587,0,Down:180s*,0.13,1,0,9,single-leg: Down naked 50sh -> 0.13 ($-18.16)
5m,1789979100,Up,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,57,
5m,1789979400,Up,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,42,
15m,1789979400,Up,0.0,50.0,,146s,0.0,0.0,-24.0346,-24.0346,0,Down:540s*,0.01,1,0,12,single-leg: Down naked 50sh -> 0.01 ($-24.03)
5m,1789979700,Up,0.0,50.0,,30s,0.0,0.0,-20.5222,-20.5222,0,Down:180s*,0.09,1,0,16,single-leg: Down naked 50sh -> 0.09 ($-20.52)
5m,1789980000,Up,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,0,
5m,1789980300,Up,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,32,
15m,1789980300,Up,50.0,0.0,156s,,0.0,0.0,0.0,0.0,0,Up:176s,0.49,0,0,14,single-leg: Up naked 50sh -> 0.49 ($+0.00)
5m,1789980600,Down,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,0,
5m,1789980900,Down,50.0,0.0,80s,,0.0,0.0,-15.7777,-15.7777,0,Up:180s*,0.18,1,0,23,single-leg: Up naked 50sh -> 0.18 ($-15.78)
5m,1789981200,Up,50.0,0.0,39s,,0.0,0.0,0.0,0.0,0,Up:81s,0.49,0,0,45,single-leg: Up naked 50sh -> 0.49 ($+0.00)
15m,1789981200,Up,40.78,0.0,35s,,0.0,0.0,0.0,0.0,0,Up:80s,0.49,0,0,16,single-leg: Up naked 41sh -> 0.49 ($+0.00)
5m,1789981500,Up,0.0,10.0,,54s,0.0,0.0,-2.6758,-2.6758,0,Down:180s*,0.23,1,0,11,single-leg: Down naked 10sh -> 0.23 ($-2.68)
5m,1789981800,Down,0.0,50.0,,69s,0.0,0.0,0.0,0.0,0,Down:165s,0.49,0,0,21,single-leg: Down naked 50sh -> 0.49 ($+0.00)
5m,1789982100,Up,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,22,
15m,1789982100,Up,0.0,5.0,,54s,0.0,0.0,0.0,0.0,0,Down:515s,0.49,0,0,22,single-leg: Down naked 5sh -> 0.49 ($+0.00)
5m,1789982400,Down,50.0,50.0,132s,140s,50.0,1.0,0.0,1.0,1,resolution,,0,0,25,pair 50sh +$1.00
5m,1789982700,Up,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,56,
5m,1789983000,Up,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,46,
15m,1789983000,Up,50.0,0.0,99s,,0.0,0.0,0.0,0.0,0,Up:171s,0.49,0,0,25,single-leg: Up naked 50sh -> 0.49 ($+0.00)
5m,1789983300,Up,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,39,
5m,1789983600,Down,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,9,
5m,1789983900,Down,50.0,27.83,60s,65s,27.83,0.5566,-2.477,-1.9204,1,resolution | Up:180s*,0.40,1,0,11,pair 28sh +$0.56 | Up naked 22sh -> 0.40 ($-2.48)
15m,1789983900,Down,47.84,0.0,54s,,0.0,0.0,-20.9845,-20.9845,0,Up:540s*,0.06,1,0,22,single-leg: Up naked 48sh -> 0.06 ($-20.98)
5m,1789984200,Down,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,39,
5m,1789984500,Down,50.0,0.0,131s,,0.0,0.0,-2.1207,-2.1207,0,Up:180s*,0.46,0,0,21,single-leg: Up naked 50sh -> 0.46 ($-2.12)
5m,1789984800,Down,0.0,0.0,,,0.0,0.0,0.0,0.0,0,,,0,0,12,
15m,1789984800,Down,50.0,11.46,275s,99s,11.46,0.2292,0.0,0.2292,1,resolution | Up:453s,0.49,0,0,14,pair 11sh +$0.23 | Up naked 39sh -> 0.49 ($+0.00)
